"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW190517_055101",39.2,13.9,-9.2,24,7.4,-7.9,10.8,1790,1750,-880,0.49,0.21,-0.28,64.1,26.5,4,-4.2,0.33,0.26,-0.15,60.1,2019-05-17 05:51:19,5
"GW190514_065416",40.9,17.3,-9.3,28.4,10,-10.1,8,3890,2610,-2070,-0.08,0.29,-0.35,69.3,29.1,8.1,-5.4,0.64,0.33,-0.3,66.4,2019-05-14 06:54:34,5
"GW190513_205428",36,10.6,-9.7,18.3,7.4,-4.7,12.5,2210,990,-810,0.16,0.29,-0.22,54.4,21.8,3.8,-2.2,0.4,0.14,-0.13,52.1,2019-05-13 20:54:46,5
"GW190512_180714",23.2,5.6,-5.6,12.5,3.5,-2.6,12.7,1460,510,-590,0.02,0.13,-0.14,35.8,14.6,1.4,-0.9,0.28,0.08,-0.1,34.3,2019-05-12 18:07:32,5
"GW190503_185404",41.3,10.3,-7.7,28.3,7.5,-9.2,12.2,1520,630,-600,-0.05,0.23,-0.3,69.4,29.3,4.5,-4.4,0.29,0.1,-0.1,66.5,2019-05-03 18:54:22,5
"GW190426_190642",105.5,45.3,-24.1,76,26.2,-36.5,8.7,4580,3400,-2280,0.23,0.42,-0.41,182.3,76,19.1,-17.4,0.73,0.41,-0.32,172.9,2019-04-26 19:07:00,4
"GW190425",2.1,0.5,-0.4,1.3,0.3,-0.2,12.4,150,80,-60,0.07,0.07,-0.05,3.4,1.44,0.02,-0.02,0.03,0.02,-0.01,3.63,2019-04-25 08:18:23,4
"GW190421_213856",42,10.1,-7.4,32,8.3,-9.8,10.7,2590,1490,-1240,-0.1,0.21,-0.27,73.6,31.4,6,-4.6,0.45,0.21,-0.19,70.5,2019-04-21 21:39:14,4
"GW190413_134308",51.3,16.6,-12.6,30.4,11.7,-12.7,10.6,3800,2480,-1830,-0.01,0.28,-0.38,81.3,33.3,7.8,-6.3,0.62,0.32,-0.26,78,2019-04-13 13:43:26,4
"GW190413_052954",33.7,10.4,-6.4,24.2,6.5,-7,9,3320,1910,-1400,-0.04,0.27,-0.32,58,24.5,4.6,-3.4,0.56,0.25,-0.21,55.5,2019-04-13 05:30:12,4
"GW190412",27.7,6,-6,9,2,-1.4,19.8,720,240,-220,0.21,0.12,-0.13,36.8,13.3,0.5,-0.5,0.15,0.04,-0.04,35.6,2019-04-12 05:31:02,4
"GW190408_181802",24.8,5.4,-3.5,18.5,3.3,-4,14.6,1540,440,-620,-0.03,0.13,-0.17,43.4,18.5,1.9,-1.2,0.29,0.07,-0.11,41.4,2019-04-08 18:18:20,4
"GW190403_051519",85,27.8,-33,20,26.3,-8.4,7.6,8280,6720,-4290,0.68,0.16,-0.43,106.6,34,15.1,-8.4,1.18,0.73,-0.53,102.2,2019-04-03 05:15:37,4
"GW170823",39.5,11.2,-6.7,29,6.7,-7.8,12.2,1940,970,-900,0.09,0.22,-0.26,68.7,29.2,4.6,-3.6,0.35,0.15,-0.15,65.4,2017-08-23 13:14:16,8
